id,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
773813,1,Schleswig-Holstein,SK Kiel,A60-A79,M,1,0,773813,2020-04-02T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773814,1,Schleswig-Holstein,SK Kiel,A60-A79,M,2,0,773814,2020-04-03T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773815,1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,773815,2020-03-18T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773816,1,Schleswig-Holstein,SK Kiel,A60-A79,W,2,0,773816,2020-03-23T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773817,1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,773817,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773818,1,Schleswig-Holstein,SK Kiel,A60-A79,W,2,0,773818,2020-03-26T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773819,1,Schleswig-Holstein,SK Kiel,A60-A79,W,3,0,773819,2020-03-27T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773820,1,Schleswig-Holstein,SK Kiel,A60-A79,W,1,0,773820,2020-03-28T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773821,1,Schleswig-Holstein,SK Kiel,A60-A79,W,5,0,773821,2020-03-29T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773822,1,Schleswig-Holstein,SK Kiel,A60-A79,W,2,0,773822,2020-03-30T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773823,1,Schleswig-Holstein,SK Kiel,A80+,M,3,0,773823,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773824,1,Schleswig-Holstein,SK Kiel,A80+,M,1,0,773824,2020-03-30T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773825,1,Schleswig-Holstein,SK Kiel,A80+,M,2,0,773825,2020-04-01T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773826,1,Schleswig-Holstein,SK Kiel,A80+,W,2,0,773826,2020-03-23T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773827,1,Schleswig-Holstein,SK Kiel,A80+,W,2,0,773827,2020-03-24T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773828,1,Schleswig-Holstein,SK Kiel,A80+,W,3,0,773828,2020-03-29T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773829,1,Schleswig-Holstein,SK Kiel,A80+,W,1,0,773829,2020-04-02T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773830,1,Schleswig-Holstein,SK Kiel,A80+,W,1,0,773830,2020-04-03T00:00:00Z,01002,"05.04.2020, 00:00 Uhr",0,-9
773831,1,Schleswig-Holstein,SK Lübeck,A00-A04,M,1,0,773831,2020-03-23T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773832,1,Schleswig-Holstein,SK Lübeck,A05-A14,M,1,0,773832,2020-04-01T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773833,1,Schleswig-Holstein,SK Lübeck,A05-A14,W,1,0,773833,2020-04-01T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773834,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,773834,2020-03-11T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773835,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,773835,2020-03-18T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773836,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,773836,2020-03-19T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773837,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,5,0,773837,2020-03-20T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773838,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,2,0,773838,2020-03-23T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773839,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,2,0,773839,2020-03-25T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773840,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,773840,2020-03-26T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773841,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,773841,2020-03-28T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773842,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,2,0,773842,2020-03-30T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773843,1,Schleswig-Holstein,SK Lübeck,A15-A34,M,1,0,773843,2020-03-31T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773844,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773844,2020-03-08T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773845,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773845,2020-03-17T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773846,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773846,2020-03-18T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773847,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773847,2020-03-19T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773848,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,4,0,773848,2020-03-20T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773849,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,3,0,773849,2020-03-23T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773850,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,2,0,773850,2020-03-24T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773851,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773851,2020-03-25T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773852,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773852,2020-03-30T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773853,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,2,0,773853,2020-03-31T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773854,1,Schleswig-Holstein,SK Lübeck,A15-A34,W,1,0,773854,2020-04-03T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773855,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,773855,2020-02-29T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773856,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,773856,2020-03-11T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773857,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,773857,2020-03-17T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773858,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,773858,2020-03-18T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773859,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,2,0,773859,2020-03-19T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773860,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,2,0,773860,2020-03-20T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773861,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,4,0,773861,2020-03-23T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773862,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,773862,2020-03-25T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773863,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,1,0,773863,2020-03-27T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773864,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,3,0,773864,2020-03-28T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773865,1,Schleswig-Holstein,SK Lübeck,A35-A59,M,2,0,773865,2020-03-30T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773866,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,773866,2020-03-11T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773867,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773867,2020-03-12T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773868,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773868,2020-03-13T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773869,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773869,2020-03-18T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773870,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,5,0,773870,2020-03-20T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773871,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,6,0,773871,2020-03-23T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773872,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,3,0,773872,2020-03-25T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773873,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773873,2020-03-27T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773874,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773874,2020-03-28T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773875,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,2,0,773875,2020-03-30T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773876,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773876,2020-03-31T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773877,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773877,2020-04-01T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773878,1,Schleswig-Holstein,SK Lübeck,A35-A59,W,1,0,773878,2020-04-03T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773879,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,773879,2020-03-11T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773880,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,1,773880,2020-03-18T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,0
773881,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,2,0,773881,2020-03-23T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773882,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,773882,2020-03-27T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
773883,1,Schleswig-Holstein,SK Lübeck,A60-A79,M,1,0,773883,2020-03-28T00:00:00Z,01003,"05.04.2020, 00:00 Uhr",0,-9
